,0
0,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
1,"RT @caitoz: The US alliance is pouring billions worth of weapons into Ukraine, the CIA has been training Ukrainians to kill Russians, the U…"
2,RT @spectatorindex: BREAKING: Ukraine's Defense Ministry says Russia has created a partial land corridor between Crimea and the Donetsk reg…
3,RT @ALocalAmerican: @TexitDallasCo Remember. Borders and guns are only for Ukraine.
4,RT @dkaleniuk: Brussels yesterday right near the European Commission. 902 people died officially in Ukraine because of russian aggression a…
5,"RT @RNCResearch: Today Biden again said that sanctions would not “deter” Putin from invading Ukraine. 
 
His administration said the EXACT…"
6,"RT @Lord_Arse: It has been reported that the Mariupol Computer Museum in Ukraine, a privately owned collection of over 500 items of retro c…"
7,"@online_ukraine Ukraine?  Your A$$🤬.  Do you Russians think everyone is stupid?  All you did was change the ""Russia… https://t.co/TDelBEkvxB"
8,"RT @lapatina_: In Russia, Ukrainians are ""offered"" official employment, and those who agree receive documents banning them from leaving tho…"
9,"RT @BeautyTies: Art lovers unite and bid for this masterpiece by @DrPamSpurr 
This piece is thought provoking and emotional. Funds go towar…"
10,RT @kylegriffin1: British defense ministry: Russian forces have suffered thousands of casualties during their invasion of Ukraine and are l…
11,"RT @alulayohannes6: Weaponizing food &amp; aid is an internationally recognized crime, yet #Ethiopia continues to do so without any regard to i…"
12,"RT @jimsciutto: New: US assesses Ukraine likely conducted successful attack on Russian ships in Berdiansk, says defense official, Ukraine s…"
13,RT @HannaLiubakova: #Ukraine About 300 people died in the theater of Mariupol as a result of the bombing by Russian aircraft on March 16. T…
14,RT @POTUS: It was an honor to meet with European Commission President von der Leyen this morning. We are united in our condemnation of Russ…
15,"RT @RadioFreeTom: This is why it's not ""he will or won't."" There's a lot of room in between ""he's a coward"" and ""he's a maniac."" He could a…"
16,"Amazing. 

Such rich and beautiful culture is something worth defending.

This photograph is now a soldier document… https://t.co/nWef1oAjoO"
17,"RT @dwnews: Ukraine officials say 300 people are feared dead in last week's strike on a Mariupol theater. 

https://t.co/1I98GAfgMZ"
18,"RT @DefenceU: 💬@ZelenskyyUa:
Ukraine was beautiful. But now it will be great, because of our people. Glorious Ukraine. Great project for re…"
19,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
20,"""The folder is run by Yaroslav Turbil, described on his LinkedIn page as “Head of https://t.co/UG5b2ywKNu — Ukraine… https://t.co/CotQFo0Kko"
21,"RT @SportsFanGirl22: Treason mates with Build Back Better 

Stupidity is standing w/Ukraine 

Pedophilia is supporting Ketanji Brown Jackso…"
22,RT @Euan_MacDonald: Belarusian railway workers are sabotaging Lukashenko's attempts to widen Putin's war on Ukraine.
23,RT @spectatorindex: BREAKING: Ukraine's Defense Ministry says Russia has created a partial land corridor between Crimea and the Donetsk reg…
24,"RT @CharlotteTempl: ""About 20 Ukrainian soldiers died during the experiments in the Kharkov laboratory alone, and another 200 were hospital…"
25,"RT @APompliano: Bitcoin is up nearly 30% since Russia invaded Ukraine, yet mainstream media will still ask ""why is bitcoin not acting like…"
26,@EricMMatheny They won't. They'll rehash stop the steal to alienate independents and push for war with Ukraine to a… https://t.co/LV7pWpQ2Ra
27,RT @thekapman: Get to @ESPN1000 NOW! We are talking to Jerome Randle who is from Chicago and was playing professional basketball in Ukraine…
28,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
29,RT @POTUS: It was an honor to meet with European Commission President von der Leyen this morning. We are united in our condemnation of Russ…
30,"Please help support SUPPORT UKRAINE, add a #Twibbon now! https://t.co/Vx1hebfsID"
31,"RT @Ambarzumjan: The genocidal state of #Azerbaijan is attacking Armenians again. 

#Artsakh #Armenia 
#Ukraine #UkraineUnderAttaсk"
32,"RT @Tomthescribe: I'm out of Ukraine and safe in Poland. 

This has been wildest, most terrifying, moving, tear jerking month of my life.…"
33,"RT @KyivIndependent: Ukraine's General Staff report: 

🔵 Russia transfers new troops to Belarus to replenish its assault force
🟡 4 Russian…"
34,RT @jcokechukwu: BREAKING: Russia has announced the arrest warrant of George Soros. George is allegedly the main promoter of the Ukraine wa…
35,"@RostykBoiko @oryxspioenkop Yeah but it's still precious, those are mostly complete looking, they're good loot, in… https://t.co/EDZSuZ8tSA"
36,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
37,@Chrollerm @Sheppard250 @Jazzypap @michellenichols Why? Because they turned down a Russian sanctioned aid package t… https://t.co/CHhPFNGJLP
38,RT @BBCRosAtkins: 9 mins on the untruths and distortions that Russia is spreading about 'Nazis' in Ukraine - including about the role of th…
39,"Russia´s war in Ukraine will have a profound impact on geopolitics, not the least in the Nordic and Baltic region.… https://t.co/mSaCsizD6G"
40,RT @seanhannity: Biden Snaps At Reporter Who Points Out Sanctions Didn’t Stop Ukraine Invasion https://t.co/v9octejeAN
41,"RT @kylegriffin1: The World Trade Organization has denied Belarus' application to become a member, citing the county's involvement in Russi…"
42,"RT @richimedhurst: They deleted it but I kept a screenshot.

The Ukrainian government actually posted this picture, acting like Ukraine has…"
43,"""Ukraine’s Ministry of Foreign Affairs distributed a dossier folder (archived)  with materials instructing public r… https://t.co/84baSH2meX"
44,"@CatnessEverwild ""Ukraine has been the centre of the globalist for decades. 70 years at least.""
Considering Ukraine… https://t.co/hmn63KJn57"
45,"RT @MrKovalenko: On March 24, #Ukraine Armed Forces liberated the next village -&gt; Luk`yanivka to the east from capital #Kyiv. They destroye…"
46,"RT @Simretina1993: Starvation is being used as a weapon of war on millions of Tigrayans by the Ethiopian govt. Yet, the int'l community foc…"
47,"RT @BarackObama: Today @POTUS announced that the U.S. will be welcoming 100,000 refugees fleeing the war in Ukraine.
 
This is the right th…"
48,"RT @RealMartinSmit: Captured russian tank near Kyiv
#俄罗斯 #Україна  
#Ukraine #Украйна  #Ukraina #乌克兰 https://t.co/KdcwVaBCTm"
49,"@roberts23215778 @SamRamani2 No, we hate what Russia does to its neighbours in Georgia and Ukraine and to its own p… https://t.co/b226pjrh4p"
50,RT @GDarkconrad: Today all intelligence flights are concentrated in the South of #Ukraine. https://t.co/AvIY0d7F2c
51,RT @Euan_MacDonald: Belarusian railway workers are sabotaging Lukashenko's attempts to widen Putin's war on Ukraine.
52,RT @talbotlabTSL: We were motivated to write this letter to call for a more thoughtful and considered response from the scientific communit…
53,"RT @ChuckModi1: Biden will be announcing U.S. will take in 100,000 Ukraine refugees. 

Also Biden with Haitian &amp; Mexican refugees. asylum s…"
54,Stand With Ukraine https://t.co/6hjIu6ByDq
55,RT @Schuldensuehner: Good Morning from #Germany where business confidence deteriorated sharply after Russia’s invasion of Ukraine caused en…
56,"RT @KyivIndependent: ⚡️Canada expands sanctions against Russia.

The new sanctions will target 160 members of the Russian parliament and ex…"
57,"RT @adamgurri: A Timothy Snyder interview from @ThePlumLineGS https://t.co/CvBLNl6aFp What if I told you it was the January 6, ""Stop the St…"
58,"RT @vik_1984: The alert level has gone up, so are the state and local govt. efforts to shore up their #cybersecurity in response to the Rus…"
59,"RT @KhersonFrom: #ukraine is detaining men trying to flee the country

they face prison or being sent to the front https://t.co/hR3xQd8QOF"
60,@form_architect Unfortunately the end result of this brutal Invasion of a sovereign country will be very distastefu… https://t.co/BLL7kC4Hr4
61,"RT @RussiaVsWorld_: New reality in #Ukraine

#StandWithUkraine 
#StopRussianAgression #StopWarInUkraine https://t.co/8qIowwb1qk"
62,RT @jamesdgreig: Funny how every reactionary in the U.K. and the US who’s like “Putin only feels confident invading Ukraine because the wes…
63,Israeli Field Hospital Provides ‘Hope Without Boundaries’ in Western Ukraine https://t.co/MyHceTnaVo https://t.co/eL2xE7BJ9L
64,"RT @301_AD: Typo, this is the official account for Ukraine’s Parliament, the Rada."
65,"RT @GlasnostGone: Russia's armed forces truly are dumb. This is a battery of 8 howitzers guns. Amount of ammo, shell casings &amp; their pitche…"
66,"RT @bopinion: Now that we have been shaken awake, most of our attention is on the bloodshed in Ukraine, and rightly so.

But just as WWI ma…"
67,"Starck expresses ""unconditional support"" for Ukraine after seizure of £444 million yacht he  [...] https://t.co/c9fiDkY0ld via @dezeen"
68,"RT @RichardGrenell: You told us Hunter Biden’s laptop was Russian disinformation 3 weeks before the election. 

The laptop proves Biden fam…"
69,"RT @IAPonomarenko: Russians, of course, will not agree on releasing all the children suffering in Mariupol now in exchange for Ukraine’s po…"
70,RT @jcokechukwu: BREAKING: Russia has announced the arrest warrant of George Soros. George is allegedly the main promoter of the Ukraine wa…
71,"RT @jack_hoogland: “Fertilizer is about three to four times costlier now than in 2020, with far-reaching consequences for farmer incomes, a…"
72,"@SueASmith571 Zelensky led Ukraine into the risk of confrontation between Nato and Russia, at the time he did not p… https://t.co/65dSAFfS0x"
73,RT @ragipsoylu: BREAKING — Erdogan to tell Putin: “Make an honourable exit in Ukraine and become an architect of peace”
74,"RT @McFaul: ""More fighter jets, more surface-to-air missiles systems and more counter-fire weapons against long-range artillery are needed…"
75,RT @UAWeapons: #Ukraine: The Ukrainian Territorial Defense fighters managed to capture themselves another tank near Malynivka in #Zaporizhz…
76,"RT @APompliano: Bitcoin is up nearly 30% since Russia invaded Ukraine, yet mainstream media will still ask ""why is bitcoin not acting like…"
77,RT @BBCTimFranks: BREAKING: confirmation from a Mariupol official of what would be the single worst loss of life in the Ukraine war so far…
78,"RT @MailOnline: 'Canoe man' John Darwin, 71, 'is on his way' to Ukraine to FIGHT, says second wife https://t.co/vGXQL57jxG"
79,@DjangiOlivier Bullshit. Russia has been at war with Ukraine for 8 years. The Donbass conflict is state sponsored b… https://t.co/t6jtkd7PhF
80,"RT @nexta_tv: The terrorist Girkin-Strelkov, openly declared the failure of the ""special military operation"" in #Ukraine https://t.co/8RbwC…"
81,"RT @richimedhurst: They deleted it but I kept a screenshot.

The Ukrainian government actually posted this picture, acting like Ukraine has…"
82,"RT @ARC2020eu: With war in Ukraine, the EU institutions made a concerted effort to shore up its highly exposed agri-industrial food system…"
83,"RT @StopRefoulement: if Ukrainians are the “real” #refugees, who are the refugees who should not, as he implies, be counted as such? Can su…"
84,"RT @onestepleft77: @MarinaPurkiss @EmmaKennedy Why are we calling a ""cost of living crisis"". It's a ""cost of voting Tory crisis""
Energy pri…"
85,RT @lesiavasylenko: Unity Love Freedom. Three key words that make Ukraine strong every morning and every second of the day #StandWithUkrain…
